segment,is_non_e_and_p,category,confidence,rationale
Oil and Natural Gas,False,Unknown,0.8,"Generic oil and natural gas label, ambiguous but defaults to false."
Contract Drilling,True,Oilfield Services,1.0,"Contract drilling is an oilfield service, not E&P."
Land Investment,True,Real Estate,1.0,"Land investment is real estate, not E&P."
Other,False,Unknown,0.5,"Vague segment name, defaults to false."
Residential Real Estate,True,Real Estate,1.0,Residential real estate is non-E&P.
Corporate and other,True,Corporate/Other,1.0,Corporate and other is non-operating segment.
GAS TRADING,True,Trading/Marketing,1.0,Gas trading is a non-E&P trading activity.
OIL & GAS EXPLORATION,False,Unknown,1.0,Exploration is upstream E&P activity.
Natural Gas Trading,True,Trading/Marketing,1.0,Natural gas trading is a non-E&P activity.
Oil & Gas E & P,False,Unknown,1.0,"Explicitly states E&P, clearly upstream."
Oil & Gas Exploration and Production,False,Unknown,1.0,"Explicitly exploration and production, upstream E&P."
NATURAL GAS TRADING,True,Trading/Marketing,1.0,Natural gas trading is non-E&P activity.
Corporate & Unallocated,True,Corporate/Other,1.0,Corporate and unallocated is non-operating segment.
PETROLEUM SERVICE,True,Oilfield Services,1.0,"Petroleum service indicates oilfield services, not E&P."
CONSULTING,True,Corporate/Other,0.9,"Consulting is a service activity, not E&P."
Oil & Gas Onshore,False,Unknown,1.0,Onshore oil & gas indicates upstream E&P activity.
OIL ONSHORE,False,Unknown,1.0,Onshore oil is upstream E&P activity.
PETROLEUM REFINERY,True,Downstream,1.0,"Refinery is downstream refining activity, not E&P."
DRILLING ARANGEMENTS,True,Oilfield Services,0.9,"Drilling arrangements are service contracts, not E&P operations."
PETROLEUM REFINING-MARKETING,True,Downstream,1.0,Refining and marketing are downstream activities.
OILFIELD SALES & SERVICE,True,Oilfield Services,1.0,Sales and service of oilfield equipment is non-E&P.
OIL&GAS EXPLORATION-PRODUCTN,False,Unknown,1.0,Exploration and production is upstream E&P.
GAS MARKETING&GATHERING,True,Midstream,1.0,Gas marketing and gathering are midstream activities.
ALL OTHER,False,Unknown,0.5,"Vague segment name, defaults to false."
Oil & Gas,False,Unknown,0.8,"Generic oil & gas label, ambiguous but defaults to false."
Oil & gas exploration,False,Unknown,1.0,Exploration is upstream E&P activity.
OIL & GAS-ONSHORE-OFFSHORE,False,Unknown,1.0,Onshore and offshore oil & gas indicates upstream E&P.
OIL & GAS ONSHORE-OFFSHORE,False,Unknown,1.0,Onshore and offshore oil & gas indicates upstream E&P.
HYDROGEN RESH & APPLICATIONS,True,Renewables,0.9,"Hydrogen research and applications is a renewable/energy tech activity, not E&P."
REAL ESTATE DEVELOPMENT,True,Real Estate,1.0,Real estate development is non-E&P.
COMPUTER SYSTEMS,True,Corporate/Other,1.0,"Computer systems is a corporate support function, not E&P."
OIL & GAS-MINERAL DEVELOPMNT,False,Unknown,0.7,Contains oil & gas and mineral development; ambiguous but defaults to false due to E&P cues.
LIQUIDATING,True,Corporate/Other,1.0,Liquidating is a non-operating corporate status.
CONSUMER PRODUCTS,True,Mining/Other,1.0,Consumer products are unrelated to E&P.
OIL & GAS EXPLORATION-PRODN,False,Unknown,1.0,Exploration and production is upstream E&P.
OILWELL DRILLING,True,Oilfield Services,1.0,"Drilling is an oilfield service, not E&P operations."
OILFIELD SERVICES,True,Oilfield Services,1.0,"Explicitly oilfield services, not E&P."
DIAMOND DRILLING,True,Oilfield Services,1.0,"Diamond drilling is a service activity, not E&P."
ENVIRONMENTAL PRODUCTS,True,Mining/Other,0.9,Environmental products are non-E&P related.
OFFSHORE DRILLING,True,Oilfield Services,1.0,"Offshore drilling is a service activity, not E&P operations."
LAND DRILLING,True,Oilfield Services,1.0,"Land drilling is a service activity, not E&P."
MANUFACTURING & DISTRIBUTION,True,Mining/Other,0.9,Manufacturing and distribution are non-E&P activities.
CORP & OTHER,True,Corporate/Other,1.0,Corporate and other is non-operating segment.
SEMI-CONDUCTOR MATERIALS,True,Mining/Other,1.0,Semiconductor materials are unrelated to E&P.
MAGAZINE PUBLISHING,True,Mining/Other,1.0,Magazine publishing is unrelated to E&P.
NON-OPERATING OIL & GAS,True,Corporate/Other,1.0,Non-operating oil & gas is non-E&P segment.
CHEMICAL & OTHER,True,Chemicals,1.0,Chemical activities are non-E&P.
LEASED EQUIPMENT RENTALS,True,Oilfield Services,0.9,"Leased equipment rentals are service activities, not E&P."
DRILLING TOOL RENTALS,True,Oilfield Services,1.0,"Drilling tool rentals are service activities, not E&P."
DRILLING TOOL SALES-RENTALS,True,Oilfield Services,1.0,"Drilling tool sales and rentals are service activities, not E&P."
OIL & GAS ONSHORE-OTHER,False,Unknown,0.9,"Contains E&P cues (Onshore) and 'Other' is vague, so default to false."
MARKETING-GATHERNG-PROCESSNG,True,Midstream,1.0,"Marketing, gathering, and processing are midstream and downstream activities, clearly non-E&P."
Oil & Gas Exploration & Development,False,Unknown,1.0,"Explicitly exploration and development, which are upstream E&P activities."
"Marketing, Gathering & Processing",True,Midstream,1.0,"Marketing, gathering, and processing are midstream/downstream activities, not E&P."
Drilling,True,Oilfield Services,1.0,"Drilling is an oilfield service activity, supplier side, not E&P."
DRILLING,True,Oilfield Services,1.0,"Same as above, drilling is oilfield services."
Gas & Exploration & Development- U.S.,False,Unknown,0.95,"Contains E&P cues (Exploration & Development) mixed with Gas, but defaults to false due to E&P presence."
Gas & Exploration & Development-Canada,False,Unknown,0.95,"Same rationale as above, E&P cues dominate."
WELL DRILLING & SERVICING,True,Oilfield Services,1.0,"Well drilling and servicing are oilfield services, not E&P."
PUBLISHING,True,Corporate/Other,1.0,"Publishing is a non-operating corporate activity, clearly non-E&P."
NAVIGATIONAL PRODUCTS,True,Corporate/Other,1.0,Navigational products are non-E&P corporate or product activities.
PRINTING,True,Corporate/Other,1.0,Printing is a non-E&P corporate activity.
ENVIRONMENTAL TESTING,True,Corporate/Other,1.0,"Environmental testing is a service activity, not E&P."
ENVIRONMENTAL TESTING & MGMT,True,Corporate/Other,1.0,Environmental testing and management is a non-E&P service activity.
Energy Resource Technology & Development,False,Unknown,0.8,Vague name with 'Energy Resource' and 'Development' but no clear non-E&P terms; default false.
Oil & Gas Industry,False,Unknown,0.9,"Very broad and vague, could include E&P; default false."
Environmental Testing & Management Industry,True,Corporate/Other,1.0,Environmental testing and management is a non-E&P service activity.
Mineral Resource Exploration,True,Mining/Other,1.0,"Mineral resource exploration refers to mining other than oil & gas, so non-E&P."
OIL & GAS EXPLORATN-PRODUCTN,False,Unknown,1.0,"Explicitly exploration and production, which are upstream E&P activities."
WELL SERVICING,True,Oilfield Services,1.0,"Well servicing is an oilfield service, not E&P."
OIL & GAS ONSHORE & OFFSHORE,False,Unknown,0.95,Contains E&P cues (Onshore & Offshore) with no non-E&P terms; default false.
Oil & gas Exploration & Production,False,Unknown,1.0,"Explicitly exploration and production, upstream E&P activities."
Oil & Gas Exploration & Production,False,Unknown,1.0,"Same as above, clearly E&P."
CHEMICALS,True,Chemicals,1.0,Chemicals is a non-E&P segment related to petrochemicals or industrial chemicals.
INDUSTRIAL & OTHER CHEMICALS,True,Chemicals,1.0,"Clearly a chemicals segment, non-E&P."
MINERALS EXPLORATION,True,Mining/Other,1.0,"Minerals exploration refers to mining other than oil & gas, so non-E&P."
ALTERNATE FUELS,True,Renewables,1.0,Alternate fuels are renewable or non-E&P energy sources.
NATURAL GAS MARKETING,True,Trading/Marketing,1.0,"Marketing of natural gas is a trading/marketing activity, non-E&P."
Chemicals,True,Chemicals,1.0,Chemicals segment is non-E&P.
Syncrude Joint Venture,False,Unknown,0.95,"Syncrude is oil sands production, an upstream E&P activity."
Oil and Gas Marketing,True,Trading/Marketing,1.0,"Marketing is a downstream/trading activity, non-E&P."
Corporate and Other Items,True,Corporate/Other,1.0,"Corporate and other items are non-operating, non-E&P."
Yemen-Oil and Gas,False,Unknown,0.9,"Geographic label with oil and gas, vague, default false."
Canada-Oil and Gas,False,Unknown,0.9,"Geographic label with oil and gas, vague, default false."
United States-Oil and Gas,False,Unknown,0.9,"Geographic label with oil and gas, vague, default false."
Other Countries-Oil and Gas,False,Unknown,0.9,"Geographic label with oil and gas, vague, default false."
Nigeria-Oil and Gas,False,Unknown,0.9,"Geographic label with oil and gas, vague, default false."
Australia-Oil and Gas,False,Unknown,0.9,"Geographic label with oil and gas, vague, default false."
Energy  Marketing,True,Trading/Marketing,1.0,"Marketing is a trading/marketing activity, non-E&P."
UK-Oil and Gas,False,Unknown,0.9,"Geographic label with oil and gas, vague, default false."
Syncrude-Oil and Gas,False,Unknown,0.95,"Syncrude is oil sands production, upstream E&P activity."
United Kingdom-Oil and Gas,False,Unknown,0.9,"Geographic label with oil and gas, vague, default false."
"Corporate,Chemicals and Other",True,Corporate/Other,1.0,"Includes corporate and chemicals, both non-E&P activities."
Syncrude-Oil Sands,False,Unknown,0.95,Oil sands is an upstream E&P activity.
North America-Oil and Gas,False,Unknown,0.9,"Geographic label with oil and gas, vague, default false."
In Situ-Oil Sands,False,Unknown,0.95,In situ oil sands is an upstream E&P activity.
Oil Sands - Syncrude,False,Unknown,0.95,Oil sands production is upstream E&P.
Conventional-Other Countries,False,Unknown,0.9,Conventional oil and gas production is upstream E&P; geographic label is vague but defaults false.
Conventional-United Kingdom,False,Unknown,0.9,"Same as above, conventional E&P with geographic label."
Conventional-North America,False,Unknown,0.9,"Same as above, conventional E&P with geographic label."
Oil Sands - In Situ,False,Unknown,0.95,Oil sands in situ is upstream E&P.
OIL & GAS EXPL & DEVELOPMENT,False,Unknown,1.0,"Explicit exploration and development, upstream E&P."
OIL & GAS LEASES,False,Unknown,0.9,"Leases relate to upstream E&P rights, so default false."
LIQUEFIED PETROLEUM GAS-RTL,True,Downstream,1.0,"Retail of LPG is a downstream activity, non-E&P."
AGRICULTURAL PRODUCTS-RETAIL,True,Mining/Other,1.0,"Agricultural products retail is non-E&P, unrelated to oil and gas."
INSULATION,True,Corporate/Other,1.0,Insulation is a non-E&P product or corporate activity.
FERTILIZER & FARM CHEMICALS,True,Chemicals,1.0,Fertilizers and farm chemicals are non-E&P chemical products.
Oil and Gas Exploration and Production,False,Unknown,1.0,Explicit E&P segment.
EXPLORATION & PRODTN-ONSHORE,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
WELL SERVICES & PRODUCTS,True,Oilfield Services,1.0,"Well services and products are oilfield services, non-E&P."
PIPELINE,True,Midstream,1.0,"Pipeline is a midstream activity, non-E&P."
OTHER ENERGY,False,Unknown,0.7,"Vague segment name, could include E&P; default false."
LEASING & OTHER,False,Unknown,0.7,"Vague name with leasing and other, no clear non-E&P indication; default false."
REAL ESTATE SALES,True,Real Estate,1.0,Real estate sales is a non-E&P activity.
REAL ESTATE SALES & RENTALS,True,Real Estate,1.0,Real estate sales and rentals are non-E&P activities.
REAL ESTATE RENTALS,True,Real Estate,1.0,Real estate rentals is a non-E&P activity.
CATTLE FEEDING,True,Mining/Other,1.0,"Cattle feeding is an agricultural activity, non-E&P."
ENERGY RESOURCES,False,Unknown,0.7,"Vague name, could include E&P; default false."
REFINING-MKTG-TRANSPORTATION,True,Downstream,1.0,"Refining, marketing, and transportation are downstream activities, non-E&P."
NATURAL GAS TRANSMISSION,True,Midstream,1.0,"Natural gas transmission is a midstream activity, non-E&P."
ENERGY RESOURCES ON-OFFSHORE,False,Unknown,0.8,"Vague with on-offshore, could be E&P; default false."
OIL & GAS EXPL ONSHORE,False,Unknown,1.0,"Explicit exploration onshore, upstream E&P."
PRECIOUS METALS,True,Mining/Other,1.0,Precious metals mining is non-E&P.
ELECTRONIC TEST,True,Corporate/Other,1.0,Electronic test is a non-E&P corporate or product activity.
COMPUTER PERIPHERALS,True,Corporate/Other,1.0,Computer peripherals is a non-E&P corporate or product activity.
LEASING,False,Unknown,0.7,Leasing is vague and could relate to upstream leases; default false.
ELECTRONIC INSTRUMENT,True,Corporate/Other,1.0,Electronic instruments are non-E&P products or corporate activities.
COMPUTERS & ELECTRONICS,True,Corporate/Other,1.0,Computers and electronics are non-E&P corporate or product activities.
"Gas Gathering, Marketing & Processing",True,Midstream,1.0,"Gathering, marketing, and processing are midstream/downstream activities, non-E&P."
Intersegment,True,Corporate/Other,1.0,Intersegment eliminations are non-operating corporate activities.
Oil Production,False,Unknown,1.0,"The name clearly relates to production, an upstream E&P activity."
Oil and Natural Gas Exploration,False,Unknown,1.0,Exploration is a core upstream E&P activity.
Crude Oil and Natural Gas,False,Unknown,0.9,Generic name likely referring to upstream activities; no clear non-E&P indication.
Oil & Gas-Onshore,False,Unknown,1.0,Onshore oil & gas typically refers to upstream E&P activities.
Oil & Gas - Exploration & Production,False,Unknown,1.0,"Explicitly states exploration and production, core upstream E&P."
CRUDE OIL & GAS,False,Unknown,0.9,Generic crude oil and gas likely upstream; no non-E&P terms present.
GRAVITY INTERPRETATION,False,Unknown,0.8,"Gravity interpretation is a geophysical technique used in exploration, thus upstream E&P related."
CRUDE OIL REFINING,True,Downstream,1.0,Refining is a downstream activity clearly not upstream E&P.
NATURAL GAS PROCESSING,True,Midstream,1.0,"Gas processing is a midstream activity, not upstream E&P."
NATURAL GAS STORAGE,True,Midstream,1.0,"Gas storage is a midstream activity, not upstream E&P."
RENTAL,True,Oilfield Services,0.9,"Rental likely refers to equipment rental, an oilfield services activity, not upstream E&P."
GAS & OIL,False,Unknown,0.7,Generic term with no clear non-E&P indication; defaults to upstream E&P.
SEED,True,Agriculture/Other,1.0,"Seed relates to agriculture, clearly not upstream E&P."
ANIMAL SCIENCE,True,Agriculture/Other,1.0,"Animal science is agriculture-related, not upstream E&P."
BROKERAGE & ANIMAL MARKETING,True,Agriculture/Other,1.0,"Brokerage and animal marketing are agriculture-related, not upstream E&P."
NATURAL RESOURCES,False,Unknown,0.6,Vague term that could include upstream E&P; defaults to false.
ANIMAL SCIENCES,True,Agriculture/Other,1.0,"Animal sciences is agriculture-related, not upstream E&P."
AGRICULTURAL SEED,True,Agriculture/Other,1.0,"Clearly agriculture-related, not upstream E&P."
AGRICULTURAL PRODUCTS,True,Agriculture/Other,1.0,Agricultural products are unrelated to upstream E&P.
ANIMAL GENETICS,True,Agriculture/Other,1.0,"Animal genetics is agriculture-related, not upstream E&P."
AGRICULTURAL SERVICES,True,Agriculture/Other,1.0,Agricultural services are unrelated to upstream E&P.
OIL WELL SERVICING,True,Oilfield Services,1.0,"Oil well servicing is an oilfield services activity, not upstream E&P."
OIL & GAS-ON & OFFSHORE,False,Unknown,0.9,Generic onshore and offshore oil & gas likely upstream E&P; no non-E&P terms.
MINERAL MINING,True,Mining/Other,1.0,Mining other than oil & gas is non-E&P activity.
CEMENT & CEMENT PRODUCTS,True,Mining/Other,1.0,Cement production is unrelated to upstream E&P.
OIL & GAS EXPLORATION & DEV,False,Unknown,1.0,Exploration and development are core upstream E&P activities.
INDUSTRIAL CHEMICALS,True,Chemicals,1.0,Industrial chemicals are non-E&P chemical activities.
PLASTICS,True,Chemicals,1.0,"Plastics production is a chemical/petrochemical activity, not upstream E&P."
SPECIALTY CHEMICALS,True,Chemicals,1.0,Specialty chemicals are non-E&P chemical activities.
AGRIC CHEMICALS-HEALTH PRODS,True,Chemicals,1.0,Agricultural chemicals are non-E&P chemical activities.
ELECTROLYTIC SYSTEMS,True,Renewables,0.8,"Electrolytic systems likely relate to power/renewables, not upstream E&P."
GEOTHERMAL,True,Renewables,1.0,"Geothermal is a renewable energy source, not upstream E&P of oil & gas."
INVESTMENT-NAT RES PROPERTIE,True,Real Estate,0.9,"Investment in natural resource properties is a real estate activity, not upstream E&P operations."
EXPLORATION & SALE OF OIL-GS,False,Unknown,0.8,Exploration is upstream E&P; sale could imply marketing but mixed terms default to false.
EXPLORATION-PRODUCING OIL-GS,False,Unknown,1.0,Exploration and production are upstream E&P activities.
INVESTMENT PROPERTIES,True,Real Estate,1.0,"Investment properties are real estate, not upstream E&P."
PROPANE & OTHER PRODUCTS,True,Downstream,0.9,"Propane and other products suggest downstream or midstream activities, not upstream E&P."
PIPELINE TARIFF,True,Midstream,1.0,"Pipeline tariff relates to midstream transportation, not upstream E&P."
MARINE DRILLING,True,Oilfield Services,1.0,"Marine drilling is an oilfield service, not upstream E&P operations."
PIPELINE TRANSPORTATION,True,Midstream,1.0,"Pipeline transportation is a midstream activity, not upstream E&P."
NATURAL GAS LIQUIDS,False,Unknown,0.7,"Natural gas liquids could be upstream or midstream; no clear non-E&P terms, default false."
MARINE OPERATIONS & SHIPBLDG,True,Oilfield Services,1.0,"Marine operations and shipbuilding are service activities, not upstream E&P."
CONTRACT DRILLING - OFFSHORE,True,Oilfield Services,1.0,"Contract drilling is an oilfield service, not upstream E&P."
PETROLEUM,False,Unknown,0.7,Generic petroleum term could include upstream E&P; no clear non-E&P indication.
NO OPERATIONS,True,Corporate/Other,1.0,"No operations indicates non-operating segment, thus non-E&P."
Oil & Gas Exploration,False,Unknown,1.0,Exploration is a core upstream E&P activity.
OIL & GAS EXPLORATION/PRODTN,False,Unknown,1.0,Exploration and production are upstream E&P activities.
DRILLING OPERATIONS,False,Unknown,0.8,Drilling operations can be upstream E&P; no clear non-E&P terms.
OIL & GAS PROPERTIES & OTHER,False,Unknown,0.7,Properties and other is ambiguous but likely includes upstream E&P; default false.
EQUIPMENT SALES & RENTAL,True,Oilfield Services,1.0,"Equipment sales and rental is an oilfield services activity, not upstream E&P."
